real,brigthness0,motion0,sleep0,brigthness1,motion1,sleep1,brigthness2,motion2,sleep2,brigthness3,motion3,sleep3
1,1,1,95,1,1,91,1,4,80,1,1,87
0,1,3,91,1,1,95,1,3,87,1,1,84
0,1,3,91,1,1,95,1,1,91,1,2,89
1,1,3,91,1,3,91,1,1,95,1,1,91
1,1,1,91,1,3,91,1,3,91,1,1,95
0,1,3,91,1,3,91,1,3,91,1,1,95
0,1,4,87,1,3,91,1,3,91,1,1,95
0,1,1,90,1,1,91,1,3,91,1,3,91
0,1,4,80,1,3,91,1,3,91,1,3,91
0,1,4,87,1,4,87,1,3,91,1,3,91
1,1,1,95,1,4,87,1,4,80,1,3,91
0,1,4,83,1,1,95,1,4,87,1,4,80
0,1,4,82,1,1,95,1,4,87,1,4,87
1,1,1,97,1,4,82,1,4,83,1,1,95
0,1,2,96,1,4,82,1,4,82,1,1,95
0,1,3,93,1,1,97,1,4,82,1,4,83
0,1,3,94,1,1,97,1,4,82,1,4,83
0,1,2,94,1,1,97,1,4,82,1,4,82
0,2,3,78,1,2,96,1,4,82,1,4,82
0,2,3,90,1,3,93,1,1,97,1,4,82
0,2,3,45,1,3,94,1,1,97,1,4,82
0,2,1,79,1,2,94,1,1,97,1,4,82
0,2,3,75,1,2,94,1,2,96,1,4,82
0,2,4,64,2,3,90,1,3,93,1,1,97
0,2,1,66,2,3,90,1,3,94,1,1,97
0,2,3,81,2,1,79,1,2,94,1,1,97
0,2,4,58,2,3,75,1,2,94,1,2,96

0,1,4,68,1,6,3,3,4,42,3,6,4
0,1,4,76,1,4,55,3,4,42,3,4,37
0,1,4,76,1,5,38,3,4,45,2,6,3
0,1,4,76,1,6,37,1,6,3,3,6,14
1,1,3,88,1,4,68,1,4,55,3,4,42
1,1,1,91,1,4,76,1,6,37,1,6,3
0,1,3,91,1,4,76,1,4,68,1,4,55
0,1,1,90,1,3,88,1,4,76,1,4,55
0,1,3,91,1,3,91,1,3,88,1,4,68
0,1,1,95,1,3,91,1,3,91,1,3,88
0,1,3,91,1,3,91,1,1,90,1,1,91
0,1,4,83,1,1,95,1,3,91,1,1,90
0,1,2,89,1,1,95,1,3,91,1,1,90
1,1,5,63,1,3,91,1,1,95,1,3,91
1,1,1,84,1,3,91,1,1,95,1,3,91
1,1,4,72,1,4,83,1,1,95,1,3,91
1,1,1,84,1,5,63,1,3,91,1,1,95
0,1,5,66,1,1,84,1,3,91,1,1,95
0,1,1,82,1,4,72,1,2,89,1,3,91
0,1,4,83,1,1,84,1,5,63,1,3,91
0,1,3,90,1,1,84,1,1,84,1,3,91
0,1,3,88,1,5,66,1,4,72,1,4,83
0,1,5,68,1,4,83,1,1,84,1,5,63
0,1,5,58,1,3,88,1,5,66,1,4,72
0,1,5,58,1,5,68,1,4,83,1,1,84
0,1,4,75,1,5,68,1,3,88,1,5,66
